Timestamp,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
3.1833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
3.1833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
3.1833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5680,2.5680,-2.5680
3.3667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5734,2.5734,-2.5734
3.3667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
3.3667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3316,2.3316,-2.3316
3.3667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
3.5500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
3.5500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
3.5500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
3.5500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5678,2.5678,-2.5678
